,catchment3,catchment4,catchment5,catchment6,catchment_1,catchment_2
282,[0.02310682],[0.],[0.01356912],[0.01369872],[0.01526861],[0.02366928]
283,[0.02271542],[0.],[0.0133393],[0.01346544],[0.01500941],[0.02326752]
284,[0.02257373],[0.],[0.01325549],[0.0133825],[0.0149161],[0.02312237]
285,[0.02211322],[0.],[0.01298592],[0.01310947],[0.01461283],[0.02265149]
286,[0.02156026],[0.],[0.01266106],[0.01278115],[0.0142465],[0.0220847]
287,[0.02120947],[0.],[0.01245456],[0.01257293],[0.01401494],[0.02172528]
288,[0.02099952],[0.],[0.01233101],[0.01244851],[0.01387584],[0.02151014]
289,[0.02087683],[0.],[0.0122593],[0.01237594],[0.01379549],[0.021384]
290,[0.02078006],[0.],[0.01220314],[0.01231891],[0.01373155],[0.0212855]
291,[0.02051395],[0.],[0.01204589],[0.0121608],[0.0135553],[0.02101248]
292,[0.02018563],[0.],[0.01185322],[0.0119664],[0.01333843],[0.02067638]
293,[0.01988928],[0.],[0.01167955],[0.01179014],[0.0131423],[0.02037312]
294,[0.01974758],[0.],[0.01159661],[0.0117072],[0.01304899],[0.02022797]
295,[0.01963267],[0.],[0.01152922],[0.01163894],[0.01297296],[0.0201096]
296,[0.01941149],[0.],[0.01139875],[0.01150762],[0.01282694],[0.01988323]
297,[0.01929658],[0.],[0.01133136],[0.0114385],[0.01275005],[0.01976486]
298,[0.01907453],[0.],[0.0112009],[0.01130803],[0.01260403],[0.01953763]
299,[0.01876435],[0.],[0.01101946],[0.011124],[0.01240013],[0.01922141]
300,[0.01832026],[0.],[0.01075853],[0.01086134],[0.01210637],[0.01876608]
301,[0.0181656],[0.],[0.01066781],[0.0107689],[0.01200355],[0.0186071]
302,[0.01806797],[0.],[0.01060992],[0.01071101],[0.01193962],[0.01850688]
303,[0.01796947],[0.],[0.01055203],[0.01065226],[0.01187395],[0.01840579]
304,[0.02290205],[0.],[0.01344902],[0.0135769],[0.01513382],[0.02345846]
305,[0.02281306],[0.],[0.01339632],[0.01352333],[0.01507421],[0.02336774]
306,[0.02243117],[0.],[0.01317254],[0.01329696],[0.01482192],[0.02297635]
307,[0.02216938],[0.],[0.01301875],[0.0131423],[0.01464912],[0.02270851]
308,[0.02189635],[0.],[0.01285805],[0.01297987],[0.01446854],[0.02242771]
309,[0.02187907],[0.],[0.01284768],[0.01297037],[0.01445731],[0.0224113]
310,[0.02146694],[0.],[0.01260576],[0.01272586],[0.01418515],[0.0219888]
311,[0.02133302],[0.],[0.012528],[0.01264723],[0.01409702],[0.02185229]
312,[0.02080512],[0.],[0.01221696],[0.0123336],[0.0137471],[0.02131056]
313,[0.02054419],[0.],[0.01206403],[0.01217894],[0.01357517],[0.02104272]
314,[0.02040336],[0.],[0.01198195],[0.012096],[0.01348272],[0.02090016]
315,[0.02037053],[0.],[0.01196208],[0.01207613],[0.01346026],[0.0208656]
316,[0.01983571],[0.],[0.01164758],[0.01175818],[0.01310688],[0.02031696]
317,[0.0196128],[0.],[0.01151712],[0.01162685],[0.01296],[0.02008973]
318,[0.01893715],[0.],[0.01112054],[0.01122595],[0.01251331],[0.0193968]
319,[0.01884557],[0.],[0.01106698],[0.01117152],[0.01245283],[0.01930349]
320,[0.01826582],[0.],[0.01072656],[0.01082851],[0.01207008],[0.01871078]
321,[0.01822608],[0.],[0.01070323],[0.01080432],[0.01204416],[0.01866931]
322,[0.01799194],[0.],[0.01056499],[0.01066522],[0.01188864],[0.01842912]
323,[0.01796342],[0.],[0.01054944],[0.0106488],[0.0118705],[0.01840147]
324,[0.01744243],[0.],[0.01024272],[0.01034035],[0.01152576],[0.01786752]
325,[0.0172463],[0.],[0.01012694],[0.01022371],[0.0113953],[0.01766448]
326,[0.01698538],[0.],[0.00997402],[0.01006906],[0.01122336],[0.0173975]
327,[0.0166657],[0.],[0.00978653],[0.00987898],[0.01101254],[0.01707091]
328,[0.01654992],[0.],[0.00971827],[0.00981158],[0.01093565],[0.01695254]
329,[0.01647648],[0.],[0.00967507],[0.00976752],[0.01088726],[0.01687738]
