Date,Simulated TDS,Threshold,Output
1960-05-06,161.3378983,170,0.0909792
1960-05-07,161.4527152,170,0.0909792
1960-05-08,161.5766794,170,0.0909792
1960-05-09,161.7101556,170,0.0909792
1960-05-10,161.8776952,170,0.0909792
1960-05-11,162.0395094,170,0.0909792
1960-05-12,162.1910015,170,0.0909792
1960-05-13,162.3301092,170,0.0909792
1960-05-14,162.4594265,170,0.0909792
1960-05-15,162.5767527,170,0.0909792
1960-05-16,162.6824021,170,0.0909792
1960-05-17,162.7795957,170,0.0909792
1960-05-18,162.8708819,170,0.0909792
1960-05-19,162.9568013,170,0.0909792
1960-05-20,163.0351216,170,0.0909792
1960-05-21,163.1093145,170,0.0909792
1960-05-22,163.1771276,170,0.0909792
1960-05-23,163.2422073,170,0.0909792
1960-05-24,163.3049169,170,0.0909792
1960-05-25,163.3662255,170,0.0909792
1960-05-26,163.4256799,170,0.0909792
1960-05-27,163.4826102,170,0.0909792
1960-05-28,163.5371519,170,0.0909792
1960-05-29,163.5874527,170,0.0909792
1960-05-30,163.6361478,170,0.0909792
1960-05-31,163.683547,170,0.0909792
1960-06-01,163.7260544,170,0.0922752
1960-06-02,163.7727242,170,0.0922752
1960-06-03,163.8210781,170,0.0922752
1960-06-04,163.8703974,170,0.0922752
1960-06-05,163.9209157,170,0.0922752
1960-06-06,163.9725177,170,0.0922752
1960-06-07,164.0249382,170,0.0922752
1960-06-08,164.0782268,170,0.0922752
1960-06-09,164.1323253,170,0.0922752
1960-06-10,164.1871565,170,0.0922752
1960-06-11,164.2427561,170,0.0922752
1960-06-12,164.2990628,170,0.0922752
1960-06-13,164.3558588,170,0.0922752
1960-06-14,164.4130974,170,0.0922752
1960-06-15,164.4706683,170,0.0922752
1960-06-16,164.528466,170,0.0922752
1960-06-17,164.5863904,170,0.0922752
1960-06-18,164.6443878,170,0.0922752
1960-06-19,164.7023717,170,0.0922752
1960-06-20,164.7603434,170,0.0922752
1960-06-21,164.8179481,170,0.0922752
1960-06-22,164.8745613,170,0.0922752
1960-06-23,164.9306871,170,0.0922752
1960-06-24,164.9850016,170,0.0922752
1960-06-25,165.0385947,170,0.0922752
1960-06-26,165.091597,170,0.0922752
1960-06-27,165.144018,170,0.0922752
1960-06-28,165.1956206,170,0.0922752
1960-06-29,165.2461347,170,0.0922752
1960-06-30,165.2961258,170,0.0922752
1960-07-01,165.341087,170,0.089424
1960-07-02,165.3975147,170,0.089424
1960-07-03,165.4548204,170,0.089424
1960-07-04,165.5129543,170,0.089424
1960-07-05,165.5716753,170,0.089424
1960-07-06,165.6308067,170,0.089424
1960-07-07,165.6906273,170,0.089424
1960-07-08,165.7512169,170,0.089424
1960-07-09,165.8124601,170,0.089424
1960-07-10,165.8743212,170,0.089424
1960-07-11,165.9367093,170,0.089424
1960-07-12,165.9997041,170,0.089424
1960-07-13,166.0631495,170,0.089424
1960-07-14,166.1270171,170,0.089424
1960-07-15,166.1912959,170,0.089424
1960-07-16,166.2561064,170,0.089424
1960-07-17,166.3213161,170,0.089424
1960-07-18,166.3868451,170,0.089424
1960-07-19,166.4525792,170,0.089424
1960-07-20,166.5184746,170,0.089424
1960-07-21,166.5845012,170,0.089424
1960-07-22,166.6506206,170,0.089424
1960-07-23,166.7168059,170,0.089424
1960-07-24,166.7828275,170,0.089424
1960-07-25,166.8486452,170,0.089424
1960-07-26,166.9130229,170,0.089424
1960-07-27,166.9769704,170,0.089424
1960-07-28,167.0408186,170,0.089424
1960-07-29,167.1045373,170,0.089424
1960-07-30,167.1676869,170,0.089424
1960-07-31,167.2306047,170,0.089424
1960-08-01,167.2905986,170,0.0914976
1960-08-02,167.344743,170,0.0914976
1960-08-03,167.3818351,170,0.0914976
1960-08-04,167.4228942,170,0.0914976
1960-08-05,167.4662312,170,0.0914976
1960-08-06,167.5110002,170,0.0914976
1960-08-07,167.5569565,170,0.0914976
1960-08-08,167.6043093,170,0.0914976
1960-08-09,167.6529777,170,0.0914976
1960-08-10,167.7028601,170,0.0914976
1960-08-11,167.7541747,170,0.0914976
1960-08-12,167.8065677,170,0.0914976
1960-08-13,167.8601234,170,0.0914976
1960-08-14,167.9148842,170,0.0914976
1960-08-15,167.9706156,170,0.0914976
1960-08-16,168.0277125,170,0.0914976
1960-08-17,168.0857362,170,0.0914976
1960-08-18,168.1445878,170,0.0914976
1960-08-19,168.2042209,170,0.0914976
1960-08-20,168.2647725,170,0.0914976
1960-08-21,168.3261824,170,0.0914976
1960-08-22,168.3881557,170,0.0914976
1960-08-23,168.4505848,170,0.0914976
1960-08-24,168.5133988,170,0.0914976
1960-08-25,168.5765595,170,0.0914976
1960-08-26,168.6399881,170,0.0914976
1960-08-27,168.7035896,170,0.0914976
1960-08-28,168.7673294,170,0.0914976
1960-08-29,168.8311945,170,0.0914976
1960-08-30,168.8951367,170,0.0914976
1960-08-31,168.9585659,170,0.0914976
1960-09-01,169.0395669,170,0.096336
1960-09-02,169.1059024,170,0.096336
1960-09-03,169.1725665,170,0.096336
1960-09-04,169.2394697,170,0.096336
1960-09-05,169.306609,170,0.096336
1960-09-06,169.3739854,170,0.096336
1960-09-07,169.4416569,170,0.096336
1960-09-08,169.5096338,170,0.096336
1960-09-09,169.5778838,170,0.096336
1960-09-10,169.646324,170,0.096336
